window,train_start,train_end,test_start,test_end,selected_params,train_metric,test_sharpe,test_total_return,test_max_drawdown,test_trades
1,2005-01-03 00:00:00+00:00,2008-01-03 00:00:00+00:00,2008-04-07 00:00:00+00:00,2009-04-03 00:00:00+00:00,{},1.127717174416458,-0.7184608820199025,-0.17487583815947394,-0.2837848389716836,20
2,2006-01-03 00:00:00+00:00,2009-01-02 00:00:00+00:00,2009-04-06 00:00:00+00:00,2010-04-06 00:00:00+00:00,{},0.1717353196438102,2.1786462462632405,0.2414007890955867,-0.06173766186261953,20
3,2007-01-04 00:00:00+00:00,2010-01-04 00:00:00+00:00,2010-04-07 00:00:00+00:00,2011-04-04 00:00:00+00:00,{},0.2962837024949465,2.405007955553816,0.23138775436769188,-0.03946672269043039,20
4,2008-01-04 00:00:00+00:00,2011-01-03 00:00:00+00:00,2011-04-05 00:00:00+00:00,2012-04-03 00:00:00+00:00,{},0.5255276443550359,1.127950829517203,0.14403590252906606,-0.07200973792945742,20
5,2009-01-05 00:00:00+00:00,2012-01-03 00:00:00+00:00,2012-04-04 00:00:00+00:00,2013-04-08 00:00:00+00:00,{},1.5217968457622724,1.084220915518027,0.06907575943181254,-0.05603458677978301,20
6,2010-01-05 00:00:00+00:00,2013-01-04 00:00:00+00:00,2013-04-09 00:00:00+00:00,2014-04-07 00:00:00+00:00,{},1.2144842438547878,1.5434312351422712,0.1139372108129213,-0.03100969069509374,20
7,2011-01-04 00:00:00+00:00,2014-01-06 00:00:00+00:00,2014-04-08 00:00:00+00:00,2015-04-08 00:00:00+00:00,{},0.9618105036950987,1.011930836447784,0.07008760813797887,-0.05024533190664482,20
8,2012-01-04 00:00:00+00:00,2015-01-06 00:00:00+00:00,2015-04-09 00:00:00+00:00,2016-04-07 00:00:00+00:00,{},1.0035402145309873,0.30173531597622916,0.023653731865779015,-0.0803810850356097,20
9,2013-01-07 00:00:00+00:00,2016-01-06 00:00:00+00:00,2016-04-08 00:00:00+00:00,2017-04-06 00:00:00+00:00,{},0.6566314592244794,1.134473024195109,0.06915241081244328,-0.04811028354332858,20
10,2014-01-07 00:00:00+00:00,2017-01-05 00:00:00+00:00,2017-04-07 00:00:00+00:00,2018-04-09 00:00:00+00:00,{},0.8003008963502063,1.0971244354918417,0.08167975797313609,-0.07164492187700933,20
11,2015-01-07 00:00:00+00:00,2018-01-05 00:00:00+00:00,2018-04-10 00:00:00+00:00,2019-04-09 00:00:00+00:00,{},1.1383333550947246,0.5201115027416848,0.043612873508380945,-0.12290035164919422,20
12,2016-01-07 00:00:00+00:00,2019-01-08 00:00:00+00:00,2019-04-10 00:00:00+00:00,2020-04-08 00:00:00+00:00,{},0.93633412500061,0.42852100401143295,0.05687434932921964,-0.20622477656385185,20
13,2017-01-06 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,2021-04-09 00:00:00+00:00,{},1.3563966160972982,1.5986592114586085,0.19539736053007428,-0.0737174188187888,20
14,2018-01-08 00:00:00+00:00,2021-01-07 00:00:00+00:00,2021-04-12 00:00:00+00:00,2022-04-07 00:00:00+00:00,{},1.2981236229449347,-0.22554540598488673,-0.026185143182706927,-0.11026859704816094,20
15,2019-01-09 00:00:00+00:00,2022-01-06 00:00:00+00:00,2022-04-08 00:00:00+00:00,2023-04-11 00:00:00+00:00,{},1.274491532141668,0.5324050630860993,0.07165027665387158,-0.1563332750102353,20
16,2020-01-09 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-04-12 00:00:00+00:00,2024-04-11 00:00:00+00:00,{},0.6799924049958175,1.1936215796009473,0.11999915812757633,-0.10627292930799304,20
