window,train_start,train_end,test_start,test_end,selected_params,train_metric,test_sharpe,test_total_return,test_max_drawdown,test_trades
1,2005-01-03 00:00:00+00:00,2008-01-03 00:00:00+00:00,2008-04-07 00:00:00+00:00,2009-04-03 00:00:00+00:00,{},1.4180201473213152,-0.532313241308796,-0.10400039505471792,-0.22407894420613528,60
2,2006-01-03 00:00:00+00:00,2009-01-02 00:00:00+00:00,2009-04-06 00:00:00+00:00,2010-04-06 00:00:00+00:00,{},0.42029286578878305,2.142707216644674,0.2508746877354924,-0.0550717700993274,60
3,2007-01-04 00:00:00+00:00,2010-01-04 00:00:00+00:00,2010-04-07 00:00:00+00:00,2011-04-04 00:00:00+00:00,{},0.5526223791897774,1.5782535507544446,0.16261331829108117,-0.058988548127937857,60
4,2008-01-04 00:00:00+00:00,2011-01-03 00:00:00+00:00,2011-04-05 00:00:00+00:00,2012-04-03 00:00:00+00:00,{},0.7746133971876064,1.0782213876264448,0.12795796940875825,-0.06168633061869688,60
5,2009-01-05 00:00:00+00:00,2012-01-03 00:00:00+00:00,2012-04-04 00:00:00+00:00,2013-04-08 00:00:00+00:00,{},1.531563733829884,0.824839858878774,0.06193834530148834,-0.05771489591614121,60
6,2010-01-05 00:00:00+00:00,2013-01-04 00:00:00+00:00,2013-04-09 00:00:00+00:00,2014-04-07 00:00:00+00:00,{},1.4358924360757441,1.2531125255474056,0.10521030368852236,-0.05969542555798135,60
7,2011-01-04 00:00:00+00:00,2014-01-06 00:00:00+00:00,2014-04-08 00:00:00+00:00,2015-04-08 00:00:00+00:00,{},1.120740319970384,1.81394200245224,0.1335181878300542,-0.04828153366062249,60
8,2012-01-04 00:00:00+00:00,2015-01-06 00:00:00+00:00,2015-04-09 00:00:00+00:00,2016-04-07 00:00:00+00:00,{},1.1722724398786448,0.10066913636226857,0.005017931825158195,-0.08967972732817542,60
9,2013-01-07 00:00:00+00:00,2016-01-06 00:00:00+00:00,2016-04-08 00:00:00+00:00,2017-04-06 00:00:00+00:00,{},0.8039922875535295,1.603880813094191,0.1102170106643976,-0.04909016514722753,60
10,2014-01-07 00:00:00+00:00,2017-01-05 00:00:00+00:00,2017-04-07 00:00:00+00:00,2018-04-09 00:00:00+00:00,{},1.0486063742513299,1.2596191051926369,0.09384705726221076,-0.07228067358770374,60
11,2015-01-07 00:00:00+00:00,2018-01-05 00:00:00+00:00,2018-04-10 00:00:00+00:00,2019-04-09 00:00:00+00:00,{},1.1572180128617338,0.7213601937882848,0.05123782077374339,-0.08399332576101715,60
12,2016-01-07 00:00:00+00:00,2019-01-08 00:00:00+00:00,2019-04-10 00:00:00+00:00,2020-04-08 00:00:00+00:00,{},1.30992822016526,0.7252694668629376,0.10126396276479244,-0.2005628694109145,60
13,2017-01-06 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,2021-04-09 00:00:00+00:00,{},1.576985892501873,1.9400579794249775,0.2344301509270792,-0.06513912594486382,60
14,2018-01-08 00:00:00+00:00,2021-01-07 00:00:00+00:00,2021-04-12 00:00:00+00:00,2022-04-07 00:00:00+00:00,{},1.0922077183083123,0.29529285869193583,0.02396313216578161,-0.0862143912325849,60
15,2019-01-09 00:00:00+00:00,2022-01-06 00:00:00+00:00,2022-04-08 00:00:00+00:00,2023-04-11 00:00:00+00:00,{},1.3150123806811103,0.05052528695030021,-0.0040645632517959385,-0.15453897310827414,60
16,2020-01-09 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-04-12 00:00:00+00:00,2024-04-11 00:00:00+00:00,{},0.29283130232179194,1.7975484331625233,0.18956457730523946,-0.10028513480208567,60
