window,train_start,train_end,test_start,test_end,selected_params,train_metric,test_sharpe,test_total_return,test_max_drawdown,test_trades
1,2005-01-03 00:00:00+00:00,2008-01-03 00:00:00+00:00,2008-10-20 00:00:00+00:00,2009-10-19 00:00:00+00:00,{'sma_window': 200},1.06388193997011,1.7371193611537852,0.21777381650816752,-0.0707753596188726,34
2,2006-01-03 00:00:00+00:00,2009-01-02 00:00:00+00:00,2009-10-20 00:00:00+00:00,2010-10-19 00:00:00+00:00,{'sma_window': 100},0.7157713487405963,1.0939930937059612,0.12294731599164122,-0.0779811059405503,52
3,2007-01-04 00:00:00+00:00,2010-01-04 00:00:00+00:00,2010-10-20 00:00:00+00:00,2011-10-18 00:00:00+00:00,{'sma_window': 200},0.9036329178869569,1.2202208031916781,0.13811500746942396,-0.060446866250519204,51
4,2008-01-04 00:00:00+00:00,2011-01-03 00:00:00+00:00,2011-10-19 00:00:00+00:00,2012-10-17 00:00:00+00:00,{'sma_window': 100},0.9242927450387447,0.5455830678635172,0.04501421836912778,-0.07017432622426722,52
5,2009-01-05 00:00:00+00:00,2012-01-03 00:00:00+00:00,2012-10-18 00:00:00+00:00,2013-10-21 00:00:00+00:00,{'sma_window': 100},1.2317839165489886,1.5107697164121743,0.14233276092500158,-0.04718970561519498,43
6,2010-01-05 00:00:00+00:00,2013-01-04 00:00:00+00:00,2013-10-22 00:00:00+00:00,2014-10-21 00:00:00+00:00,{'sma_window': 100},1.0163781429758023,0.16678232394760525,0.009254849445482716,-0.053097302131845825,52
7,2011-01-04 00:00:00+00:00,2014-01-06 00:00:00+00:00,2014-10-22 00:00:00+00:00,2015-10-21 00:00:00+00:00,{'sma_window': 200},1.0976084470295009,-0.12399946447504227,-0.01633778573534117,-0.09953348650941418,46
8,2012-01-04 00:00:00+00:00,2015-01-06 00:00:00+00:00,2015-10-22 00:00:00+00:00,2016-10-20 00:00:00+00:00,{'sma_window': 200},1.119608668054988,0.428345586774917,0.027538559284529418,-0.037743796078338776,46
9,2013-01-07 00:00:00+00:00,2016-01-06 00:00:00+00:00,2016-10-21 00:00:00+00:00,2017-10-20 00:00:00+00:00,{'sma_window': 200},0.6710977180027996,2.487076134862754,0.16564565593603842,-0.025933324344916242,49
10,2014-01-07 00:00:00+00:00,2017-01-05 00:00:00+00:00,2017-10-23 00:00:00+00:00,2018-10-22 00:00:00+00:00,{'sma_window': 200},0.5726641050727102,0.40595210908687795,0.03868470521857348,-0.0809064984610749,52
11,2015-01-07 00:00:00+00:00,2018-01-05 00:00:00+00:00,2018-10-23 00:00:00+00:00,2019-10-23 00:00:00+00:00,{'sma_window': 100},0.7669768802765732,0.6643500656877309,0.04419796063607495,-0.048250149851534085,46
12,2016-01-07 00:00:00+00:00,2019-01-08 00:00:00+00:00,2019-10-24 00:00:00+00:00,2020-10-22 00:00:00+00:00,{'sma_window': 100},1.0048378673958922,1.3354732762608696,0.18446855433615394,-0.12045248582223311,54
13,2017-01-06 00:00:00+00:00,2020-01-08 00:00:00+00:00,2020-10-23 00:00:00+00:00,2021-10-22 00:00:00+00:00,{'sma_window': 100},1.086894170212303,1.6429190811931196,0.19130988830203766,-0.04998144750493938,48
14,2018-01-08 00:00:00+00:00,2021-01-07 00:00:00+00:00,2021-10-25 00:00:00+00:00,2022-10-24 00:00:00+00:00,{'sma_window': 50},0.9917317515550097,-1.9873933658495337,-0.17894378763029917,-0.20368696098312566,32
15,2019-01-09 00:00:00+00:00,2022-01-06 00:00:00+00:00,2022-10-25 00:00:00+00:00,2023-10-25 00:00:00+00:00,{'sma_window': 50},1.132618095952008,-0.2159747078489351,-0.026796638726526045,-0.09450187788424036,49
16,2020-01-09 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-10-26 00:00:00+00:00,2024-10-25 00:00:00+00:00,{'sma_window': 200},0.4453657334172739,2.058866964784191,0.2551630858670495,-0.08143851742353314,56
