entry_time,exit_time,quantity,entry_price,exit_price,side
2019-01-02,2019-01-03,10.0000,100.0000,99.9972,long
2019-02-06,2019-02-07,10.0000,100.0000,101.0428,long
2019-03-13,2019-03-14,10.0000,100.0000,99.1437,long
2019-04-17,2019-04-18,10.0000,100.0000,101.4561,long
2019-05-22,2019-05-23,10.0000,100.0000,101.9435,long
2019-06-26,2019-06-27,10.0000,100.0000,100.3474,long
2019-07-31,2019-08-01,10.0000,100.0000,101.2305,long
2019-09-04,2019-09-05,10.0000,100.0000,101.0509,long
2019-10-09,2019-10-10,10.0000,100.0000,100.4056,long
2019-11-13,2019-11-14,10.0000,100.0000,99.9376,long
2019-12-18,2019-12-19,10.0000,100.0000,98.7674,long
2020-01-22,2020-01-23,10.0000,100.0000,102.2104,long
2020-02-26,2020-02-27,10.0000,100.0000,100.7524,long
2020-04-01,2020-04-02,10.0000,100.0000,103.3223,long
2020-05-06,2020-05-07,10.0000,100.0000,101.6262,long
2020-06-10,2020-06-11,10.0000,100.0000,101.0778,long
2020-07-15,2020-07-16,10.0000,100.0000,100.1426,long
2020-08-19,2020-08-20,10.0000,100.0000,102.1925,long
2020-09-23,2020-09-24,10.0000,100.0000,100.2937,long
2020-10-28,2020-10-29,10.0000,100.0000,102.3699,long
2020-12-02,2020-12-03,10.0000,100.0000,100.4016,long
2021-01-06,2021-01-07,10.0000,100.0000,100.9860,long
2021-02-10,2021-02-11,10.0000,100.0000,99.2773,long
2021-03-17,2021-03-18,10.0000,100.0000,103.1432,long
2021-04-21,2021-04-22,10.0000,100.0000,100.7060,long
2021-05-26,2021-05-27,10.0000,100.0000,100.4149,long
2021-06-30,2021-07-01,10.0000,100.0000,101.6108,long
2021-08-04,2021-08-05,10.0000,100.0000,99.9086,long
2021-09-08,2021-09-09,10.0000,100.0000,101.5676,long
2021-10-13,2021-10-14,10.0000,100.0000,99.6288,long
2021-11-17,2021-11-18,10.0000,100.0000,101.3452,long
2021-12-22,2021-12-23,10.0000,100.0000,99.7559,long
2022-01-26,2022-01-27,10.0000,100.0000,98.9629,long
2022-03-02,2022-03-03,10.0000,100.0000,100.2062,long
2022-04-06,2022-04-07,10.0000,100.0000,99.3361,long
2022-05-11,2022-05-12,10.0000,100.0000,101.3533,long
2022-06-15,2022-06-16,10.0000,100.0000,100.8217,long
2022-07-20,2022-07-21,10.0000,100.0000,101.3094,long
2022-08-24,2022-08-25,10.0000,100.0000,100.8913,long
2022-09-28,2022-09-29,10.0000,100.0000,100.4461,long
2022-11-02,2022-11-03,10.0000,100.0000,100.8281,long
2022-12-07,2022-12-08,10.0000,100.0000,101.8525,long
2023-01-11,2023-01-12,10.0000,100.0000,100.6169,long
2023-02-15,2023-02-16,10.0000,100.0000,100.0380,long
2023-03-22,2023-03-23,10.0000,100.0000,99.8301,long
2023-04-26,2023-04-27,10.0000,100.0000,100.5783,long
2023-05-31,2023-06-01,10.0000,100.0000,100.0503,long
2023-07-05,2023-07-06,10.0000,100.0000,102.6806,long
2023-08-09,2023-08-10,10.0000,100.0000,99.6214,long
2023-09-13,2023-09-14,10.0000,100.0000,99.7184,long
2023-10-18,2023-10-19,10.0000,100.0000,100.4941,long
2023-11-22,2023-11-23,10.0000,100.0000,101.4500,long
2023-12-27,2023-12-28,10.0000,100.0000,100.5319,long
2024-01-31,2024-02-01,10.0000,100.0000,99.8421,long
2024-03-06,2024-03-07,10.0000,100.0000,99.9931,long
2024-04-10,2024-04-11,10.0000,100.0000,100.4492,long
2024-05-15,2024-05-16,10.0000,100.0000,101.7734,long
2024-06-19,2024-06-20,10.0000,100.0000,99.8220,long
2024-07-24,2024-07-25,10.0000,100.0000,100.7087,long
2024-08-28,2024-08-29,10.0000,100.0000,100.1869,long
